symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-06-17 13:53:00+00:00,600.71,600.71,600.53,600.53,4539.0,47.0,600.605793
SPY,2025-06-17 13:54:00+00:00,600.54,600.63,600.49,600.51,2522.0,48.0,600.539144
SPY,2025-06-17 13:55:00+00:00,600.53,600.53,600.35,600.35,1602.0,31.0,600.422692
SPY,2025-06-17 13:56:00+00:00,600.35,600.85,600.33,600.66,2825.0,40.0,600.630227
SPY,2025-06-17 13:57:00+00:00,600.76,600.775,600.68,600.75,4440.0,56.0,600.728375
SPY,2025-06-17 13:58:00+00:00,600.8,600.8,600.655,600.7,3241.0,37.0,600.70074
SPY,2025-06-17 13:59:00+00:00,600.7,600.75,600.7,600.75,744.0,16.0,600.725714
SPY,2025-06-17 14:00:00+00:00,601.005,601.13,600.92,600.97,5427.0,52.0,601.0025
SPY,2025-06-17 14:01:00+00:00,600.96,600.96,600.565,600.565,1860.0,38.0,600.823955
SPY,2025-06-17 14:02:00+00:00,600.52,600.68,600.51,600.68,768.0,18.0,600.605
SPY,2025-06-17 14:03:00+00:00,600.655,600.655,600.53,600.53,2434.0,33.0,600.597059
SPY,2025-06-17 14:04:00+00:00,600.6,600.6,600.42,600.485,2077.0,21.0,600.537778
SPY,2025-06-17 14:05:00+00:00,600.495,600.695,600.41,600.69,2693.0,25.0,600.531105
SPY,2025-06-17 14:06:00+00:00,600.69,600.81,600.655,600.81,3228.0,60.0,600.715465
SPY,2025-06-17 14:07:00+00:00,600.87,600.93,600.83,600.835,2362.0,42.0,600.888097
SPY,2025-06-17 14:08:00+00:00,600.93,600.93,600.91,600.92,472.0,14.0,600.9225
SPY,2025-06-17 14:09:00+00:00,600.92,601.15,600.92,601.15,722.0,17.0,601.011504
SPY,2025-06-17 14:10:00+00:00,601.24,601.24,601.08,601.12,2392.0,39.0,601.159676
SPY,2025-06-17 14:11:00+00:00,601.13,601.27,601.13,601.27,744.0,18.0,601.208583
SPY,2025-06-17 14:12:00+00:00,601.41,601.505,601.36,601.505,3488.0,58.0,601.423626
SPY,2025-06-17 14:13:00+00:00,601.56,601.56,601.365,601.43,3282.0,35.0,601.429167
SPY,2025-06-17 14:14:00+00:00,601.42,601.63,601.42,601.525,1758.0,29.0,601.525625
SPY,2025-06-17 14:15:00+00:00,601.52,601.575,601.42,601.42,5267.0,45.0,601.453202
SPY,2025-06-17 14:16:00+00:00,601.465,601.485,601.4,601.4,705.0,23.0,601.452609
SPY,2025-06-17 14:17:00+00:00,601.46,601.535,601.36,601.38,1929.0,28.0,601.425938
SPY,2025-06-17 14:18:00+00:00,601.35,601.42,601.14,601.16,4531.0,47.0,601.312487
SPY,2025-06-17 14:19:00+00:00,601.085,601.27,601.075,601.27,2044.0,35.0,601.134656
SPY,2025-06-17 14:20:00+00:00,601.22,601.38,601.22,601.355,858.0,24.0,601.3025
SPY,2025-06-17 14:21:00+00:00,601.38,601.38,601.28,601.38,1641.0,27.0,601.312857
SPY,2025-06-17 14:22:00+00:00,601.3,601.315,601.27,601.27,2713.0,17.0,601.301378
SPY,2025-06-17 14:23:00+00:00,601.255,601.375,601.25,601.36,3385.0,31.0,601.27321
SPY,2025-06-17 14:24:00+00:00,601.31,601.31,601.01,601.01,379.0,16.0,601.148333
SPY,2025-06-17 14:25:00+00:00,601.115,601.15,601.085,601.15,1653.0,30.0,601.115
SPY,2025-06-17 14:26:00+00:00,601.185,601.195,601.09,601.115,3742.0,38.0,601.142311
SPY,2025-06-17 14:27:00+00:00,601.09,601.17,601.045,601.15,2788.0,31.0,601.092692
